x1 y1 alpha1_deg x2 y2 alpha2_deg x3 y3 alpha3_deg robot_pos_x robot_pos_y robot_theta_deg derived_pos_x derived_pos_y
5.000 7.000 97.156 -5.000 7.000 174.301 0.000 -7.000 -22.835 -1.632 0.975 -55.159 -1.683 1.014
5.000 7.000 92.192 -5.000 7.000 167.289 0.000 -7.000 -29.999 -1.608 0.828 -48.754 -1.567 0.738
5.000 7.000 87.050 -5.000 7.000 162.278 0.000 -7.000 -34.656 -1.582 0.719 -43.534 -1.602 0.765
5.000 7.000 80.923 -5.000 7.000 154.357 0.000 -7.000 -42.320 -1.536 0.576 -36.405 -1.532 0.526
5.000 7.000 74.094 -5.000 7.000 146.709 0.000 -7.000 -49.960 -1.478 0.436 -28.852 -1.491 0.412
5.000 7.000 74.094 -5.000 7.000 146.709 0.000 -7.000 -49.960 -1.478 0.436 -28.852 -1.491 0.412
5.000 7.000 70.302 -5.000 7.000 142.002 0.000 -7.000 -55.587 -1.426 0.335 -23.275 -1.373 0.262
5.000 7.000 62.816 -5.000 7.000 134.643 0.000 -7.000 -63.859 -1.346 0.205 -15.904 -1.308 0.261
5.000 7.000 55.493 -5.000 7.000 127.906 0.000 -7.000 -70.371 -1.256 0.085 -8.777 -1.355 0.348
5.000 7.000 50.952 -5.000 7.000 120.823 0.000 -7.000 -78.620 -1.155 -0.026 -2.157 -1.141 -0.034
5.000 7.000 50.952 -5.000 7.000 120.823 0.000 -7.000 -78.620 -1.155 -0.026 -2.157 -1.141 -0.034
