x1 y1 alpha1_deg x2 y2 alpha2_deg x3 y3 alpha3_deg robot_pos_x robot_pos_y robot_theta_deg landAB_derive_pos_x landAB_derive_pos_y landBC_derive_pos_x landBC_derive_pos_y landCA_derive_pos_x landCA_derive_pos_y
5.000 7.000 -55.818 -5.000 7.000 20.008 0.000 -7.000 147.678 1.068 0.693 114.393 1.158 0.712 1.049 0.534 1.084 0.787
5.000 7.000 -55.818 -5.000 7.000 20.008 0.000 -7.000 147.678 1.068 0.693 114.393 1.158 0.712 1.049 0.534 1.084 0.787
5.000 7.000 -57.776 -5.000 7.000 19.140 0.000 -7.000 146.689 1.079 0.799 115.357 1.074 0.818 1.098 0.855 1.090 0.802
5.000 7.000 -60.988 -5.000 7.000 17.080 0.000 -7.000 143.846 1.082 0.941 118.039 1.077 0.948 1.149 1.059 1.126 0.899
5.000 7.000 -64.755 -5.000 7.000 13.806 0.000 -7.000 140.741 1.075 1.048 121.572 1.078 1.002 1.081 1.006 1.080 1.000
5.000 7.000 -73.512 -5.000 7.000 6.993 0.000 -7.000 134.547 1.049 1.227 129.070 1.021 1.198 0.897 1.017 0.927 1.289
5.000 7.000 -73.512 -5.000 7.000 6.993 0.000 -7.000 134.547 1.049 1.227 129.070 1.021 1.198 0.897 1.017 0.927 1.289
5.000 7.000 -77.762 -5.000 7.000 4.494 0.000 -7.000 130.925 1.033 1.299 132.437 1.015 1.377 0.967 1.309 0.979 1.411
5.000 7.000 -87.585 -5.000 7.000 -3.061 0.000 -7.000 122.059 0.979 1.478 141.451 1.066 1.612 0.964 1.472 0.988 1.682
5.000 7.000 -93.157 -5.000 7.000 -8.876 0.000 -7.000 116.303 0.937 1.582 147.000 1.042 1.584 1.001 1.528 1.011 1.611
5.000 7.000 -103.184 -5.000 7.000 -15.798 0.000 -7.000 110.279 0.871 1.718 154.480 0.867 1.842 0.804 1.763 0.815 1.888
5.000 7.000 -103.184 -5.000 7.000 -15.798 0.000 -7.000 110.279 0.871 1.718 154.480 0.867 1.842 0.804 1.763 0.815 1.888
5.000 7.000 -110.429 -5.000 7.000 -22.880 0.000 -7.000 103.915 0.792 1.847 161.863 0.905 1.864 0.629 1.518 0.669 2.069
5.000 7.000 -118.537 -5.000 7.000 -29.976 0.000 -7.000 97.211 0.701 1.969 169.113 0.844 1.944 0.552 1.589 0.589 2.165
5.000 7.000 -125.803 -5.000 7.000 -34.880 0.000 -7.000 91.672 0.627 2.054 174.290 0.687 2.127 0.641 2.075 0.647 2.162
5.000 7.000 -132.943 -5.000 7.000 -42.774 0.000 -7.000 85.842 0.520 2.157 -179.486 0.463 2.036 0.584 2.169 0.569 1.939
5.000 7.000 -132.943 -5.000 7.000 -42.774 0.000 -7.000 85.842 0.520 2.157 -179.486 0.463 2.036 0.584 2.169 0.569 1.939
5.000 7.000 -140.386 -5.000 7.000 -46.446 0.000 -7.000 81.720 0.404 2.249 -173.691 0.505 2.358 0.315 2.162 0.327 2.508
